Source,Species,Latitud,Longitud,Date,Location,State/Islands
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,NA,NA,Sep 1939,San Juan,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°59.737′ N,66°25.451′ W,24 Apr 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°59.705′ N,"66°25.063′ W,",23 Jan. 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°59.705′ N,"66°25.063′ W,",3 Mar. 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°0.017′ N,66°26.115′ W,24 Jan. 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°0.017′ N,66°26.115′ W,13 Mar. 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°0.017′ N,66°26.115′ W,24 Apr. 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,18°0.017′ N,66°26.115′ W,6 Apr. 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°58.632′ N,66°23.096′ W,29 Jan. 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°58.547′ N,66°25.063′ W,22 Jan. 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°58.547′ N,66°25.063′ W,28 Jan. 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°58.547′ N,66°25.063′ W,13 Mar. 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°58.547′ N,66°25.063′ W,15 Mar. 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°58.547′ N,66°25.063′ W,12 May 2013,Santa Isabel,Puerto Rico
J.Gibb 2018,Lasioglossum (Dialictus) dispersum,17°59.496′ N,66°26.582′ W,13 Mar. 2013,Santa Isabel,Puerto Rico
