Source,Species,Latitud,Longitud,Date,Location,State/Islands
Genaro 2001,Lasioglossum (Dialictus) sierramaestrensis ,NA,NA,May 1969,Gran Piedra,Cuba
Genaro 2001,Lasioglossum (Dialictus) sierramaestrensis ,NA,NA,May 1969,Gran Piedra,Cuba
Genaro 2001,Lasioglossum (Dialictus) sierramaestrensis ,NA,NA,May 1969,Gran Piedra,Cuba
Genaro 2001,Lasioglossum (Dialictus) sierramaestrensis ,NA,NA,jul 1954,Gran Piedra,Cuba
Genaro 2001,Lasioglossum (Dialictus) sierramaestrensis ,NA,NA,Apr 1955,Gran Piedra,Cuba
Genaro 2001,Lasioglossum (Dialictus) sierramaestrensis ,NA,NA,Apr 29 1956,Gran Piedra,Cuba
Genaro 2001,Lasioglossum (Dialictus) sierramaestrensis ,NA,NA,Apr 2001,Gran Piedra,Cuba
Genaro 2001,Lasioglossum (Dialictus) sierramaestrensis ,NA,NA,Apr 1963,"Pico Cardero, Turquino, Sierra Maestra,",Cuba
Genaro 2001,Lasioglossum (Dialictus) sierramaestrensis ,NA,NA,Apr 1963,"Pico Turquino, Sierra Maestra",Cuba
Genaro 2001,Lasioglossum (Dialictus) sierramaestrensis ,NA,NA,dic 1967,Pico Turquino,Cuba
Genaro 2001,Lasioglossum (Dialictus) sierramaestrensis ,NA,NA,jun 20 1952,"Loma del Gato, Sierra del Cobre",Cuba
Genaro 2001,Lasioglossum (Dialictus) sierramaestrensis ,NA,NA,Sep 24-30 1935,"Loma del Gato, El Cobre, Santiago de Cuba",Cuba
Genaro 2001,Lasioglossum (Dialictus) engel,NA,NA,jun 2001,"Gran Piedra, Sierra Maestra, Santiago de Cuba",Cuba
Genaro 2001,Lasioglossum (Dialictus) engel,NA,NA,jul 1956,"Gran Piedra, Sierra Maestra",Cuba
Genaro 2001,Lasioglossum (Dialictus) engel,NA,NA,jul 1956,"Gran Piedra, Sierra Maestra",Cuba
Genaro 2001,Lasioglossum (Dialictus) engel,NA,NA,jul 1963,Gran Piedra,Cuba
Genaro 2001,Lasioglossum (Dialictus) engel,NA,NA,jul 1963,Gran Piedra,Cuba
Genaro 2001,Lasioglossum (Dialictus) engel,NA,NA,jun 1962,"Gran Piedra, Sierra Maestra",Cuba
Genaro 2001,Lasioglossum (Dialictus) engel,NA,NA,jun 1962,Gran Piedra,Cuba
Genaro 2001,Lasioglossum (Dialictus) engel,NA,NA,jul 1970,Gran Piedra,Cuba
Genaro 2001,Lasioglossum (Dialictus) engel,NA,NA,jun 2001,Gran Piedra,Cuba
Genaro 2001,Lasioglossum (Dialictus) engel,NA,NA,oct 1966,"Pico Cardero,
Turquino, Sierra Maestra",Cuba
Genaro 2001,Lasioglossum (Dialictus) engel,NA,NA,jul 1963,"Pico Cuba, Turquino,
Sierra Maestra",Cuba
Genaro 2001,Lasioglossum (Dialictus) engel,NA,NA,jul 1963,Pico Cuba,Cuba
