,name,longitude,latitude
99,Lasioglossum (Dialictus) dispersum,64.93333333,18.81138889
100,Lasioglossum (Dialictus) dispersum,64.93333333,18.81138889
101,Lasioglossum (Dialictus) dispersum,64.93333333,18.81138889
102,Lasioglossum (Dialictus) dispersum,64.93333333,18.81138889
103,Lasioglossum (Dialictus) dispersum,64.93333333,18.81138889
104,Lasioglossum (Dialictus) dispersum,64.93333333,18.81138889
105,Lasioglossum (Dialictus) dispersum,64.93333333,18.81138889
106,Lasioglossum (Dialictus) dispersum,64.93333333,18.81138889
107,Lasioglossum (Dialictus) dispersum,64.56666667,18.48333333
108,Lasioglossum (Dialictus) dispersum,64.56666667,18.48333333
109,Lasioglossum (Dialictus) dispersum,64.93333333,18.81138889
110,Lasioglossum (Dialictus) dispersum,64.56666667,18.48333333
111,Lasioglossum (Dialictus) dispersum,64.56666667,18.48333333
112,Lasioglossum (Dialictus) dispersum,64.56666667,18.46861111
113,Lasioglossum (Dialictus) dispersum,64.93333333,18.81138889
114,Lasioglossum (Dialictus) dispersum,64.93333333,18.81138889
115,Lasioglossum (Dialictus) dispersum,64.93333333,18.81138889
116,Lasioglossum (Dialictus) dispersum,64.56666667,18.48333333
117,Lasioglossum (Dialictus) dispersum,64.56666667,18.46861111
118,Lasioglossum (Dialictus) dispersum,165.1691667,23.9625
