"","Source","Species","Latitud","Longitud","Date","Location","State.Islands"
"39","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.1097222222222,66.7958333333333,"17 Jun.–15 Jul. 2014","Ponce","Puerto Rico"
"40","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.1097222222222,66.7958333333333,"15 Jul.–12 Aug. 2014","Ponce","Puerto Rico"
"41","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.0591666666667,66,"12 Sep. 2010","Ponce","Puerto Rico"
"42","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",19.3988888888889,67.3661111111111,"10 Feb.–10 Mar. 2015","Ponce","Puerto Rico"
"43","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",19.3988888888889,67.3661111111111,"15 Jul.–12 Aug. 2014","Ponce","Puerto Rico"
"44","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",19.3988888888889,67.3661111111111,"9 Sep.–7 Oct. 2014","Ponce","Puerto Rico"
"45","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",19.4022222222222,67.1561111111111,"9 Sep.–7 Oct. 2014","Ponce","Puerto Rico"
"46","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",19.4022222222222,67.1561111111111,"2 Dec. 2014–13 Jan. 2014","Ponce","Puerto Rico"
"47","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.8588888888889,66,"23 Mar 1936","Salinas","Puerto Rico"
"48","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.6841666666667,66.2561111111111,"Sep 1939","San Juan","Puerto Rico"
"49","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.1880555555556,67.8333333333333,"24 Apr 2013","Santa Isabel","Puerto Rico"
"50","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.1791666666667,66.4166666666667,"23 Jan. 2013","Santa Isabel","Puerto Rico"
"51","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.1791666666667,66.4166666666667,"3 Mar. 2013","Santa Isabel","Puerto Rico"
"52","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.0047222222222,66.4652777777778,"24 Jan. 2013","Santa Isabel","Puerto Rico"
"53","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.0047222222222,66.4652777777778,"13 Mar. 2013","Santa Isabel","Puerto Rico"
"54","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.0047222222222,66.4652777777778,"24 Apr. 2013","Santa Isabel","Puerto Rico"
"55","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.0047222222222,66.4652777777778,"6 Apr. 2013","Santa Isabel","Puerto Rico"
"56","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.1422222222222,66.41,"29 Jan. 2013","Santa Isabel","Puerto Rico"
"57","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.1186111111111,66.4341666666667,"22 Jan. 2013","Santa Isabel","Puerto Rico"
"58","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.1186111111111,66.4341666666667,"28 Jan. 2013","Santa Isabel","Puerto Rico"
"59","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.1186111111111,66.4341666666667,"13 Mar. 2013","Santa Isabel","Puerto Rico"
"60","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.1186111111111,66.4341666666667,"15 Mar. 2013","Santa Isabel","Puerto Rico"
"61","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.1186111111111,66.4341666666667,"12 May 2013","Santa Isabel","Puerto Rico"
"62","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.1211111111111,66.595,"13 Mar. 2013","Santa Isabel","Puerto Rico"
"63","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.1211111111111,66.595,"15 Mar. 2013","Santa Isabel","Puerto Rico"
"64","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.1211111111111,66.595,"24 Apr. 2013","Santa Isabel","Puerto Rico"
"65","J.Gibb 2018","Lasioglossum (Dialictus) dispersum",18.1211111111111,66.595,"26 Apr. 2013","Santa Isabel","Puerto Rico"
