name,latitude,longitude
Lasioglossum (Dialictus) dispersum,18.242777777777775,-67.25972222222222
Lasioglossum (Dialictus) dispersum,18.871111111111112,-67.11527777777779
Lasioglossum (Dialictus) dispersum,18.846944444444443,-67.11361111111111
Lasioglossum (Dialictus) dispersum,18.833888888888886,-66.27388888888889
Lasioglossum (Dialictus) dispersum,18.19333333333333,-67.23083333333334
Lasioglossum (Dialictus) dispersum,18.19333333333333,-67.23083333333334
Lasioglossum (Dialictus) dispersum,18.19333333333333,-67.23083333333334
Lasioglossum (Dialictus) dispersum,18.19333333333333,-67.23083333333334
Lasioglossum (Dialictus) dispersum,18.19333333333333,-67.23083333333334
Lasioglossum (Dialictus) dispersum,18.19333333333333,-67.23083333333334
Lasioglossum (Dialictus) dispersum,18.242777777777775,-67.25972222222222
Lasioglossum (Dialictus) dispersum,18.74888888888889,-67.57083333333333
Lasioglossum (Dialictus) dispersum,18.92972222222222,-66.3375
Lasioglossum (Dialictus) dispersum,18.610833333333332,-65.65611111111112
Lasioglossum (Dialictus) dispersum,18.69,-66.30555555555556
Lasioglossum (Dialictus) dispersum,17.84,-66.86
Lasioglossum (Dialictus) dispersum,17.84,-66.86
Lasioglossum (Dialictus) dispersum,17.84,-66.86
Lasioglossum (Dialictus) dispersum,17.84,-66.86
Lasioglossum (Dialictus) dispersum,17.84,-66.86
Lasioglossum (Dialictus) dispersum,17.84,-66.86
Lasioglossum (Dialictus) dispersum,17.84,-66.86
Lasioglossum (Dialictus) dispersum,18.602777777777778,-67.41944444444445
Lasioglossum (Dialictus) dispersum,18.619444444444447,-67.47222222222223
Lasioglossum (Dialictus) dispersum,18.622222222222224,-67.45555555555556
Lasioglossum (Dialictus) dispersum,18.631944444444446,-67.48944444444444
Lasioglossum (Dialictus) dispersum,18.61416666666667,-67.46861111111112
Lasioglossum (Dialictus) dispersum,18.615000000000002,-67.47500000000001
Lasioglossum (Dialictus) dispersum,18.61,-67.50833333333334
Lasioglossum (Dialictus) dispersum,18.638333333333335,-67.48444444444445
Lasioglossum (Dialictus) dispersum,18.114444444444445,-67.33444444444444
Lasioglossum (Dialictus) dispersum,18.114444444444445,-67.33444444444444
Lasioglossum (Dialictus) dispersum,18.422777777777778,-67.02972222222223
Lasioglossum (Dialictus) dispersum,18.522222222222222,-67.46722222222222
Lasioglossum (Dialictus) dispersum,18.109722222222224,-66.79583333333333
Lasioglossum (Dialictus) dispersum,18.109722222222224,-66.79583333333333
Lasioglossum (Dialictus) dispersum,18.109722222222224,-66.79583333333333
Lasioglossum (Dialictus) dispersum,18.109722222222224,-66.79583333333333
Lasioglossum (Dialictus) dispersum,18.109722222222224,-66.79583333333333
Lasioglossum (Dialictus) dispersum,18.109722222222224,-66.79583333333333
Lasioglossum (Dialictus) dispersum,18.059166666666666,-67.14611111111111
Lasioglossum (Dialictus) dispersum,19.39888888888889,-67.36611111111112
Lasioglossum (Dialictus) dispersum,19.39888888888889,-67.36611111111112
Lasioglossum (Dialictus) dispersum,19.39888888888889,-67.36611111111112
Lasioglossum (Dialictus) dispersum,19.40222222222222,-67.15611111111112
Lasioglossum (Dialictus) dispersum,19.40222222222222,-67.15611111111112
Lasioglossum (Dialictus) dispersum,18.858888888888888,-66.61305555555556
Lasioglossum (Dialictus) dispersum,18.684166666666666,-66.25611111111111
Lasioglossum (Dialictus) dispersum,18.188055555555557,-66.54194444444445
Lasioglossum (Dialictus) dispersum,18.179166666666667,-66.43416666666667
Lasioglossum (Dialictus) dispersum,18.179166666666667,-66.43416666666667
Lasioglossum (Dialictus) dispersum,18.004722222222224,-66.46527777777779
Lasioglossum (Dialictus) dispersum,18.004722222222224,-66.46527777777779
Lasioglossum (Dialictus) dispersum,18.004722222222224,-66.46527777777779
Lasioglossum (Dialictus) dispersum,18.004722222222224,-66.46527777777779
Lasioglossum (Dialictus) dispersum,18.14222222222222,-66.41000000000001
Lasioglossum (Dialictus) dispersum,18.11861111111111,-66.43416666666667
Lasioglossum (Dialictus) dispersum,18.11861111111111,-66.43416666666667
Lasioglossum (Dialictus) dispersum,18.11861111111111,-66.43416666666667
Lasioglossum (Dialictus) dispersum,18.11861111111111,-66.43416666666667
Lasioglossum (Dialictus) dispersum,18.11861111111111,-66.43416666666667
Lasioglossum (Dialictus) dispersum,18.121111111111112,-66.595
Lasioglossum (Dialictus) dispersum,18.121111111111112,-66.595
Lasioglossum (Dialictus) dispersum,18.121111111111112,-66.595
